matra,frequency
ा,0.36704119850187267
ि,0.06367041198501873
ी,0.12734082397003746
ु,0.12359550561797752
ू,0.0449438202247191
े,0.15355805243445692
ै,0.02247191011235955
ो,0.0898876404494382
ौ,0.0
ं,0.00749063670411985
ः,0.0
ँ,0.0
ृ,0.0
