ngram,frequency,probability
 ,257817,0.20726455358657386
ा,86263,0.06934865499962618
क,72589,0.058355836427760044
े,68321,0.054924700720233005
र,64951,0.0522154862557611
ी,45146,0.03629382676945067
न,41710,0.03353155350537783
स,40690,0.032711553875181584
ं,38920,0.031288613340429275
ि,38268,0.03076445671406854
ह,37782,0.030373751007916214
्,36634,0.0294508494633424
म,33995,0.02732930140051113
ल,31171,0.02505902791455604
ो,27689,0.02225977427500376
त,27255,0.021910872471567318
प,24274,0.019514383356258488
य,21109,0.0169699727390319
द,19908,0.016004463370536126
ब,18104,0.014554189514777278
ज,17069,0.013722131066489911
व,16605,0.013349111626871227
ग,14939,0.012009778897550694
ै,14099,0.011334485084447904
ु,13959,0.011221936115597438
ट,11260,0.009052152780401687
ए,9667,0.007771506299124611
श,8878,0.007137212467531632
ड,7597,0.0061073894025498775
च,7589,0.006100958032901279
अ,7579,0.006092918820840532
इ,6530,0.005249605475668119
भ,6497,0.005223076075867652
ू,6192,0.004977880108014854
थ,6071,0.004880605642079808
आ,6071,0.004880605642079808
फ,5926,0.00476403706719897
ख,5455,0.004385390179137762
उ,5305,0.0042648019982265495
ई,4445,0.0035734297610022646
ध,4097,0.0032936651812882516
औ,3908,0.0031417240733401237
़,3487,0.002803273245582654
ष,2547,0.0020475873118723886
ौ,2112,0.0016978815872298724
छ,2069,0.0016633129753686581
ॉ,1659,0.0013337052808780107
ण,1568,0.0012605484511252084
घ,1393,0.001119862240062127
ठ,1182,0.0009502348655803548
ओ,952,0.0007653329881831622
ढ,679,0.0005458624989247554
झ,644,0.0005177252567121391
ऐ,633,0.0005088821234453169
‍,618,0.0004968233053541957
ृ,405,0.00032558808846027386
ड़,398,0.0003199606400177506
ऑ,392,0.0003151371127813021
 ,220,0.00017686266533644505
ऊ,120,9.647054472897002e-05
ञ,94,7.556859337102651e-05
ढ़,80,6.431369648598002e-05
ः,50,4.019606030373751e-05
🇮,38,3.0549005830840505e-05
🇳,38,3.0549005830840505e-05
ऋ,26,2.0901951357943506e-05
ज़,21,1.6882345327569754e-05
।,20,1.6078424121495005e-05
फ़,13,1.0450975678971753e-05
ँ,13,1.0450975678971753e-05
⃣,12,9.647054472897002e-06
ख़,9,7.235290854672752e-06
️,9,7.235290854672752e-06
​,8,6.431369648598002e-06
🙏,8,6.431369648598002e-06
–,7,5.627448442523251e-06
ऩ,4,3.215684824299001e-06
🏻,4,3.215684824299001e-06
ॅ,3,2.4117636182242506e-06
🍷,3,2.4117636182242506e-06
य़,2,1.6078424121495005e-06
⭐,2,1.6078424121495005e-06
😎,2,1.6078424121495005e-06
🍰,2,1.6078424121495005e-06
💃,2,1.6078424121495005e-06
ऱ,2,1.6078424121495005e-06
…,2,1.6078424121495005e-06
क़,2,1.6078424121495005e-06
ॐ,2,1.6078424121495005e-06
🎂,2,1.6078424121495005e-06
💯,1,8.039212060747502e-07
😜,1,8.039212060747502e-07
‎,1,8.039212060747502e-07
👀,1,8.039212060747502e-07
📻,1,8.039212060747502e-07
🌏,1,8.039212060747502e-07
📺,1,8.039212060747502e-07
😇,1,8.039212060747502e-07
🙌,1,8.039212060747502e-07
🇹,1,8.039212060747502e-07
🇷,1,8.039212060747502e-07
