digram,frequency,probability
हग,1,1.3481267778421883e-05
रु,1,1.3481267778421883e-05
वश,1,1.3481267778421883e-05
दब,2,2.6962535556843766e-05
तट,2,2.6962535556843766e-05
भा,2,2.6962535556843766e-05
पी,7,9.436887444895318e-05
शी,2,2.6962535556843766e-05
डट,1,1.3481267778421883e-05
लद,1,1.3481267778421883e-05
कस,4,5.392507111368753e-05
रा,2,2.6962535556843766e-05
फर,1,1.3481267778421883e-05
ऐश,1,1.3481267778421883e-05
गल,1,1.3481267778421883e-05
मो,1,1.3481267778421883e-05
शह,1,1.3481267778421883e-05
हू,1,1.3481267778421883e-05
अन,1,1.3481267778421883e-05
पो,1,1.3481267778421883e-05
छे,1,1.3481267778421883e-05
ईश,2,2.6962535556843766e-05
हई,1,1.3481267778421883e-05
बू,1,1.3481267778421883e-05
दा,9,0.00012133141000579694
जम,1,1.3481267778421883e-05
दि,1,1.3481267778421883e-05
गौ,1,1.3481267778421883e-05
तन,1,1.3481267778421883e-05
भट,1,1.3481267778421883e-05
खश,1,1.3481267778421883e-05
