matra,frequency,probability
ा,89115.0,0.25268019927469454
ि,39390.0,0.11168796554373807
ी,46645.0,0.1322590797864347
ु,14403.0,0.040838836449008875
ू,6422.0,0.018209193062246404
े,70494.0,0.19988147862503863
ै,14602.0,0.041403088927891935
ो,28574.0,0.08101985091258623
ौ,2171.0,0.00615573935505091
ं,40372.0,0.11447236722345248
ः,50.0,0.00014177197961886021
ँ,14.0,3.969615429328086e-05
ृ,427.0,0.0012107327059450662
