triagram,frequency,probability
धाम,7,0.00017161910365793862
दास,5,0.0001225850740413847
शोक,13,0.0003187211925076003
हिट,16,0.00039227223693243113
कमर,6,0.00014710208884966165
तरफ,137,0.0033588310287339415
हाल,104,0.0025497695400608024
संग,26,0.0006374423850152006
मगर,41,0.0010051976071393546
शाम,59,0.0014465038736883398
महल,4,9.806805923310778e-05
रोड,27,0.0006619593998234775
जाल,8,0.00019613611846621556
दूध,29,0.0007109934294400314
छपी,6,0.00014710208884966165
साफ,100,0.002451701480827694
फूड,6,0.00014710208884966165
लैब,7,0.00017161910365793862
घुन,2,4.903402961655389e-05
अरब,17,0.00041678925174070807
तेल,20,0.0004903402961655388
छठा,3,7.355104442483083e-05
हित,22,0.0005393743257820927
दशक,14,0.00034323820731587724
चीन,75,0.0018387761106207709
जोर,20,0.0004903402961655388
लाभ,16,0.00039227223693243113
याद,38,0.0009316465627145239
भीम,3,7.355104442483083e-05
आधा,9,0.0002206531332744925
देर,53,0.0012994017848386781
लगे,65,0.0015936059625380015
शिव,16,0.00039227223693243113
सजा,43,0.0010542316367559085
केस,127,0.003113660880651172
कैद,9,0.0002206531332744925
बरी,4,9.806805923310778e-05
काट,14,0.00034323820731587724
तथा,47,0.0011522996959890163
लाल,33,0.0008090614886731392
शरण,3,7.355104442483083e-05
असम,27,0.0006619593998234775
तहत,112,0.002745905658527018
शेख,7,0.00017161910365793862
लाश,43,0.0010542316367559085
ढाई,12,0.0002942041776993233
सोई,1,2.4517014808276945e-05
हवस,8,0.00019613611846621556
नदी,22,0.0005393743257820927
ईंट,4,9.806805923310778e-05
लाख,152,0.0037265862508580956
होम,16,0.00039227223693243113
लोन,19,0.00046582328135726195
बेस,4,9.806805923310778e-05
रेट,9,0.0002206531332744925
घटा,12,0.0002942041776993233
लूट,27,0.0006619593998234775
कार,65,0.0015936059625380015
नशे,11,0.00026968716289104636
खेल,47,0.0011522996959890163
सुन,9,0.0002206531332744925
कुद,1,2.4517014808276945e-05
बचा,13,0.0003187211925076003
ठोक,3,7.355104442483083e-05
अदा,12,0.0002942041776993233
असल,17,0.00041678925174070807
आशा,8,0.00019613611846621556
मृत,12,0.0002942041776993233
राज,42,0.0010297146219476316
वार,15,0.0003677552221241542
पति,72,0.00176522506619594
रूम,24,0.0005884083553986466
चाय,7,0.00017161910365793862
माफ,9,0.0002206531332744925
एंड,27,0.0006619593998234775
मूल,13,0.0003187211925076003
रकम,18,0.000441306266548985
बहस,17,0.00041678925174070807
गैप,3,7.355104442483083e-05
शूट,8,0.00019613611846621556
रहो,3,7.355104442483083e-05
रखो,3,7.355104442483083e-05
काल,11,0.00026968716289104636
बचत,1,2.4517014808276945e-05
जमा,26,0.0006374423850152006
खोल,11,0.00026968716289104636
मरे,2,4.903402961655389e-05
कदर,10,0.0002451701480827694
बरस,3,7.355104442483083e-05
फटा,3,7.355104442483083e-05
हां,10,0.0002451701480827694
संघ,25,0.0006129253702069236
राय,37,0.000907129547906247
बाई,7,0.00017161910365793862
सरल,4,9.806805923310778e-05
यान,1,2.4517014808276945e-05
रात,111,0.002721388643718741
फैल,18,0.000441306266548985
गला,12,0.0002942041776993233
घाट,10,0.0002451701480827694
भरा,14,0.00034323820731587724
खां,2,4.903402961655389e-05
धुन,4,9.806805923310778e-05
रखी,30,0.0007355104442483084
गेट,15,0.0003677552221241542
सभा,19,0.00046582328135726195
डेट,18,0.000441306266548985
कीच,2,4.903402961655389e-05
रोल,47,0.0011522996959890163
सहज,3,7.355104442483083e-05
भाई,77,0.0018878101402373248
ईशा,11,0.00026968716289104636
गाज,2,4.903402961655389e-05
चोट,20,0.0004903402961655388
खून,34,0.0008335785034814161
गईं,13,0.0003187211925076003
आंत,2,4.903402961655389e-05
लीड,15,0.0003677552221241542
यूथ,2,4.903402961655389e-05
बजट,37,0.000907129547906247
आटा,3,7.355104442483083e-05
डेड,1,2.4517014808276945e-05
हार,28,0.0006864764146317545
सेह,1,2.4517014808276945e-05
मधु,5,0.0001225850740413847
रचा,2,4.903402961655389e-05
आयी,3,7.355104442483083e-05
गैर,7,0.00017161910365793862
तभी,42,0.0010297146219476316
रोष,3,7.355104442483083e-05
मैन,8,0.00019613611846621556
उतर,13,0.0003187211925076003
रेल,10,0.0002451701480827694
कसा,1,2.4517014808276945e-05
टैग,4,9.806805923310778e-05
सीट,93,0.0022800823771697556
रखे,22,0.0005393743257820927
किम,19,0.00046582328135726195
चोल,2,4.903402961655389e-05
जंग,25,0.0006129253702069236
चले,15,0.0003677552221241542
सेट,20,0.0004903402961655388
चीज,22,0.0005393743257820927
यहा,2,4.903402961655389e-05
निक,7,0.00017161910365793862
जला,8,0.00019613611846621556
लहर,13,0.0003187211925076003
धुर,1,2.4517014808276945e-05
रास,2,4.903402961655389e-05
जगन,1,2.4517014808276945e-05
विद,3,7.355104442483083e-05
दखल,5,0.0001225850740413847
पचा,1,2.4517014808276945e-05
बीड,4,9.806805923310778e-05
संत,11,0.00026968716289104636
आना,17,0.00041678925174070807
डील,21,0.0005148573109738158
हटे,1,2.4517014808276945e-05
जेट,21,0.0005148573109738158
रोक,39,0.0009561635775228008
कौर,19,0.00046582328135726195
साए,3,7.355104442483083e-05
कोट,2,4.903402961655389e-05
फूट,2,4.903402961655389e-05
बेच,8,0.00019613611846621556
तले,4,9.806805923310778e-05
दबा,4,9.806805923310778e-05
बसर,2,4.903402961655389e-05
बीत,4,9.806805923310778e-05
बैठ,10,0.0002451701480827694
सबक,6,0.00014710208884966165
सना,14,0.00034323820731587724
रुक,4,9.806805923310778e-05
जीप,4,9.806805923310778e-05
ठान,4,9.806805923310778e-05
दाग,3,7.355104442483083e-05
खेद,5,0.0001225850740413847
दुख,10,0.0002451701480827694
भले,31,0.0007600274590565853
बेल,4,9.806805923310778e-05
दूं,3,7.355104442483083e-05
तूल,4,9.806805923310778e-05
बीफ,4,9.806805923310778e-05
बाप,5,0.0001225850740413847
उलट,7,0.00017161910365793862
तुम,19,0.00046582328135726195
मीट,4,9.806805923310778e-05
बाल,13,0.0003187211925076003
जाए,34,0.0008335785034814161
मगध,3,7.355104442483083e-05
आइए,11,0.00026968716289104636
छीन,4,9.806805923310778e-05
मोह,2,4.903402961655389e-05
लाए,7,0.00017161910365793862
दंड,4,9.806805923310778e-05
शंख,2,4.903402961655389e-05
आते,45,0.0011032656663724624
डाल,18,0.000441306266548985
लेक,5,0.0001225850740413847
करण,58,0.0014219868588800629
आंख,6,0.00014710208884966165
मेड,3,7.355104442483083e-05
आका,2,4.903402961655389e-05
नये,6,0.00014710208884966165
बदल,21,0.0005148573109738158
हों,9,0.0002206531332744925
पान,2,4.903402961655389e-05
डूब,2,4.903402961655389e-05
सघन,2,4.903402961655389e-05
लदे,1,2.4517014808276945e-05
शमी,11,0.00026968716289104636
पैर,9,0.0002206531332744925
गति,2,4.903402961655389e-05
मैच,52,0.0012748847700304012
फीस,3,7.355104442483083e-05
शोज,4,9.806805923310778e-05
गाओ,1,2.4517014808276945e-05
पूछ,7,0.00017161910365793862
बीस,5,0.0001225850740413847
एयर,30,0.0007355104442483084
जैश,6,0.00014710208884966165
दौर,24,0.0005884083553986466
भवन,6,0.00014710208884966165
बाज,2,4.903402961655389e-05
उमर,5,0.0001225850740413847
कसर,1,2.4517014808276945e-05
शाद,1,2.4517014808276945e-05
लिख,8,0.00019613611846621556
दुआ,2,4.903402961655389e-05
पाल,18,0.000441306266548985
मात,6,0.00014710208884966165
सबब,2,4.903402961655389e-05
सपा,27,0.0006619593998234775
चरण,24,0.0005884083553986466
सोम,1,2.4517014808276945e-05
अटल,4,9.806805923310778e-05
जैन,9,0.0002206531332744925
राव,8,0.00019613611846621556
रवि,12,0.0002942041776993233
सफर,15,0.0003677552221241542
चैन,9,0.0002206531332744925
गोद,12,0.0002942041776993233
एकल,1,2.4517014808276945e-05
रशा,1,2.4517014808276945e-05
फेज,2,4.903402961655389e-05
ऋचा,1,2.4517014808276945e-05
मना,33,0.0008090614886731392
चुप,16,0.00039227223693243113
वेज,1,2.4517014808276945e-05
करन,1,2.4517014808276945e-05
कटी,1,2.4517014808276945e-05
लाद,1,2.4517014808276945e-05
सीन,9,0.0002206531332744925
तंज,8,0.00019613611846621556
मनु,6,0.00014710208884966165
तनु,2,4.903402961655389e-05
बहल,6,0.00014710208884966165
घूम,6,0.00014710208884966165
टेक,9,0.0002206531332744925
जगत,12,0.0002942041776993233
लीग,14,0.00034323820731587724
पीठ,17,0.00041678925174070807
जफर,4,9.806805923310778e-05
नोट,28,0.0006864764146317545
आये,6,0.00014710208884966165
थमा,4,9.806805923310778e-05
कहे,8,0.00019613611846621556
किन,3,7.355104442483083e-05
खपा,1,2.4517014808276945e-05
इंक,1,2.4517014808276945e-05
सनी,16,0.00039227223693243113
एअर,1,2.4517014808276945e-05
डबल,11,0.00026968716289104636
पैक,2,4.903402961655389e-05
शेष,4,9.806805923310778e-05
गहन,3,7.355104442483083e-05
खेर,22,0.0005393743257820927
जिन,28,0.0006864764146317545
सीज,2,4.903402961655389e-05
सील,15,0.0003677552221241542
चंद,11,0.00026968716289104636
ओवी,2,4.903402961655389e-05
बैन,31,0.0007600274590565853
रंग,19,0.00046582328135726195
छोर,2,4.903402961655389e-05
हरि,3,7.355104442483083e-05
वीर,3,7.355104442483083e-05
जोश,9,0.0002206531332744925
तंग,4,9.806805923310778e-05
रची,6,0.00014710208884966165
खनन,3,7.355104442483083e-05
लेख,3,7.355104442483083e-05
वैध,5,0.0001225850740413847
पलट,6,0.00014710208884966165
गयी,13,0.0003187211925076003
चौथ,3,7.355104442483083e-05
धूम,3,7.355104442483083e-05
घना,2,4.903402961655389e-05
घने,3,7.355104442483083e-05
आला,12,0.0002942041776993233
लेट,16,0.00039227223693243113
ठंड,8,0.00019613611846621556
ईडी,4,9.806805923310778e-05
ऐंड,2,4.903402961655389e-05
मील,1,2.4517014808276945e-05
यमन,8,0.00019613611846621556
सदन,32,0.0007845444738648623
कहो,6,0.00014710208884966165
चाक,2,4.903402961655389e-05
झूठ,17,0.00041678925174070807
दीप,9,0.0002206531332744925
जले,2,4.903402961655389e-05
पले,1,2.4517014808276945e-05
हूँ,2,4.903402961655389e-05
जहल,1,2.4517014808276945e-05
जाम,8,0.00019613611846621556
आजम,8,0.00019613611846621556
सदर,2,4.903402961655389e-05
कसम,1,2.4517014808276945e-05
खाई,4,9.806805923310778e-05
कौम,1,2.4517014808276945e-05
रील,2,4.903402961655389e-05
कलर,11,0.00026968716289104636
ईयर,3,7.355104442483083e-05
तीस,4,9.806805923310778e-05
आदि,13,0.0003187211925076003
तार,4,9.806805923310778e-05
मंच,18,0.000441306266548985
टाल,11,0.00026968716289104636
फंड,20,0.0004903402961655388
रेस,2,4.903402961655389e-05
गोल,3,7.355104442483083e-05
सास,5,0.0001225850740413847
जिम,7,0.00017161910365793862
ओनी,1,2.4517014808276945e-05
सैर,3,7.355104442483083e-05
योग,33,0.0008090614886731392
थीं,28,0.0006864764146317545
केक,3,7.355104442483083e-05
बेक,1,2.4517014808276945e-05
धार,2,4.903402961655389e-05
गुट,4,9.806805923310778e-05
खुल,8,0.00019613611846621556
बडा,1,2.4517014808276945e-05
कैश,21,0.0005148573109738158
यूं,17,0.00041678925174070807
आधी,5,0.0001225850740413847
दीं,1,2.4517014808276945e-05
बुआ,4,9.806805923310778e-05
ठोस,6,0.00014710208884966165
रमन,12,0.0002942041776993233
नील,8,0.00019613611846621556
फसल,2,4.903402961655389e-05
शौच,1,2.4517014808276945e-05
अमर,4,9.806805923310778e-05
लोक,13,0.0003187211925076003
सटे,10,0.0002451701480827694
ठगी,14,0.00034323820731587724
इसस,2,4.903402961655389e-05
सती,4,9.806805923310778e-05
देह,1,2.4517014808276945e-05
शीश,2,4.903402961655389e-05
सिख,14,0.00034323820731587724
परम,1,2.4517014808276945e-05
शहद,2,4.903402961655389e-05
चना,1,2.4517014808276945e-05
भोग,6,0.00014710208884966165
हवन,5,0.0001225850740413847
शयन,1,2.4517014808276945e-05
चेन,7,0.00017161910365793862
बचे,8,0.00019613611846621556
पोज,5,0.0001225850740413847
गुड,3,7.355104442483083e-05
फेल,5,0.0001225850740413847
आउट,19,0.00046582328135726195
खंड,1,2.4517014808276945e-05
कंठ,2,4.903402961655389e-05
कोष,4,9.806805923310778e-05
दान,13,0.0003187211925076003
रेड,13,0.0003187211925076003
एवज,1,2.4517014808276945e-05
उसक,1,2.4517014808276945e-05
डरे,5,0.0001225850740413847
घनी,1,2.4517014808276945e-05
गैस,9,0.0002206531332744925
सईद,5,0.0001225850740413847
बैच,2,4.903402961655389e-05
लीव,6,0.00014710208884966165
चली,16,0.00039227223693243113
फीट,7,0.00017161910365793862
चीख,1,2.4517014808276945e-05
बंध,2,4.903402961655389e-05
कपल,13,0.0003187211925076003
अबु,4,9.806805923310778e-05
ओवर,23,0.0005638913405903697
रूट,11,0.00026968716289104636
लात,1,2.4517014808276945e-05
पवन,3,7.355104442483083e-05
उरी,20,0.0004903402961655388
