swar,frequency,probability
अ,7390.0,0.15814252086454098
आ,6268.0,0.13413224909052002
इ,6722.0,0.14384763535202225
ई,4591.0,0.09824523860475069
उ,5443.0,0.11647763749197518
ऊ,130.0,0.0027819387973464582
ए,10017.0,0.2143590841001498
ऐ,648.0,0.013866894928311576
ओ,1005.0,0.02150652685640916
औ,4028.0,0.08619730365931949
अं,462.0,0.009886582495185106
अः,0.0,0.0
ऋ,26.0,0.0005563877594692917
