matra,frequency,probability
ा,1523.0,0.35222016651248844
ि,474.0,0.10962072155411656
ी,483.0,0.11170212765957446
ु,835.0,0.19310823311748382
ू,42.0,0.00971322849213691
े,455.0,0.10522664199814986
ै,57.0,0.013182238667900092
ो,212.0,0.04902867715078631
ौ,133.0,0.030758556891766882
ं,110.0,0.02543940795559667
ः,0.0,0.0
ँ,0.0,0.0
ृ,0.0,0.0
