matra,frequency
ा,0.38850574712643676
ि,0.034482758620689655
ी,0.10574712643678161
ु,0.17471264367816092
ू,0.01839080459770115
े,0.13333333333333333
ै,0.013793103448275862
ो,0.10114942528735632
ौ,0.004597701149425287
ं,0.013793103448275862
ः,0.0
ँ,0.0022988505747126436
ृ,0.009195402298850575
