matra,frequency,probability
ा,374.0,0.3961864406779661
ि,195.0,0.2065677966101695
ी,137.0,0.1451271186440678
ु,0.0,0.0
ू,0.0,0.0
े,195.0,0.2065677966101695
ै,0.0,0.0
ो,43.0,0.045550847457627115
ौ,0.0,0.0
ं,0.0,0.0
ः,0.0,0.0
ँ,0.0,0.0
ृ,0.0,0.0
