swar,frequency
अ,0.1979933110367893
आ,0.14013377926421405
इ,0.07290969899665552
ई,0.0765886287625418
उ,0.17190635451505018
ऊ,0.008695652173913044
ए,0.1745819397993311
ऐ,0.014046822742474917
ओ,0.02040133779264214
औ,0.12173913043478261
अं,0.0
अः,0.0
ऋ,0.001003344481605351
