matra,frequency
ा,0.16426387068588905
ि,0.2075141983398864
ी,0.10135430318916558
ु,0.045871559633027525
ू,0.08213193534294452
े,0.27741371778069024
ै,0.003931847968545216
ो,0.0856269113149847
ौ,0.019659239842726082
ं,0.005679335954565312
ः,0.0
ँ,0.0
ृ,0.00655307994757536
