matra,frequency
ा,0.1198501872659176
ि,0.5056179775280899
ी,0.056179775280898875
ु,0.0449438202247191
ू,0.10112359550561797
े,0.07116104868913857
ै,0.04868913857677903
ो,0.0149812734082397
ौ,0.02247191011235955
ं,0.00749063670411985
ः,0.0
ँ,0.00749063670411985
ृ,0.0
