matra,frequency
ा,0.1125
ि,0.0125
ी,0.0125
ु,0.1375
ू,0.1
े,0.025
ै,0.0
ो,0.5875
ौ,0.0
ं,0.0125
ः,0.0
ँ,0.0
ृ,0.0
