matra,frequency,probability
ा,77.0,0.8850574712643678
ि,0.0,0.0
ी,0.0,0.0
ु,0.0,0.0
ू,0.0,0.0
े,3.0,0.034482758620689655
ै,0.0,0.0
ो,7.0,0.08045977011494253
ौ,0.0,0.0
ं,0.0,0.0
ः,0.0,0.0
ँ,0.0,0.0
ृ,0.0,0.0
