matra,frequency
ा,0.4161676646706587
ि,0.0658682634730539
ी,0.19461077844311378
ु,0.005988023952095809
ू,0.0
े,0.19760479041916168
ै,0.0029940119760479044
ो,0.0688622754491018
ौ,0.0
ं,0.04790419161676647
ः,0.0
ँ,0.0
ृ,0.0
