matra,frequency,probability
ा,1161.0,0.3765812520272462
ि,692.0,0.22445669802140772
ी,146.0,0.04735647096983458
ु,416.0,0.1349335063250081
ू,110.0,0.03567953292247811
े,311.0,0.10087577035355173
ै,5.0,0.001621796951021732
ो,134.0,0.04346415828738242
ौ,13.0,0.0042166720726565035
ं,95.0,0.03081414206941291
ः,0.0,0.0
ँ,0.0,0.0
ृ,0.0,0.0
