matra,frequency,probability
ा,24.0,0.26373626373626374
ि,2.0,0.02197802197802198
ी,2.0,0.02197802197802198
ु,0.0,0.0
ू,15.0,0.16483516483516483
े,24.0,0.26373626373626374
ै,0.0,0.0
ो,5.0,0.054945054945054944
ौ,0.0,0.0
ं,19.0,0.2087912087912088
ः,0.0,0.0
ँ,0.0,0.0
ृ,0.0,0.0
