matra,frequency
ा,0.2857142857142857
ि,0.20408163265306123
ी,0.16326530612244897
ु,0.02040816326530612
ू,0.0
े,0.04081632653061224
ै,0.0
ो,0.2857142857142857
ौ,0.0
ं,0.0
ः,0.0
ँ,0.0
ृ,0.0
