matra,frequency,probability
ा,2480.0,0.26860175457597746
ि,780.0,0.08447958410050904
ी,1896.0,0.2053503736596989
ु,1556.0,0.1685259395646052
ू,1061.0,0.11491389580851294
े,497.0,0.053828658074298714
ै,229.0,0.02480233943463663
ो,552.0,0.05978555182497563
ौ,10.0,0.0010830715910321671
ं,167.0,0.018087295570237194
ः,1.0,0.00010830715910321672
ँ,0.0,0.0
ृ,4.0,0.00043322863641286687
