matra,frequency,probability
ा,146.0,0.3273542600896861
ि,13.0,0.02914798206278027
ी,17.0,0.03811659192825112
ु,10.0,0.02242152466367713
ू,33.0,0.07399103139013453
े,169.0,0.3789237668161435
ै,0.0,0.0
ो,16.0,0.03587443946188341
ौ,21.0,0.04708520179372197
ं,21.0,0.04708520179372197
ः,0.0,0.0
ँ,0.0,0.0
ृ,0.0,0.0
