matra,frequency
ा,0.4083885209713024
ि,0.12251655629139073
ी,0.09602649006622517
ु,0.09492273730684327
ू,0.11479028697571744
े,0.046357615894039736
ै,0.0772626931567329
ो,0.01434878587196468
ौ,0.0011037527593818985
ं,0.023178807947019868
ः,0.0
ँ,0.0
ृ,0.0011037527593818985
