matra,frequency,probability
ा,4601.0,0.16003478260869566
ि,1295.0,0.04504347826086957
ी,4657.0,0.16198260869565217
ु,2287.0,0.07954782608695653
ू,261.0,0.009078260869565218
े,1561.0,0.054295652173913043
ै,10386.0,0.3612521739130435
ो,3568.0,0.12410434782608695
ौ,35.0,0.001217391304347826
ं,89.0,0.0030956521739130436
ः,0.0,0.0
ँ,0.0,0.0
ृ,10.0,0.00034782608695652176
