matra,frequency,probability
ा,2254.0,0.33996983408748116
ि,498.0,0.0751131221719457
ी,930.0,0.14027149321266968
ु,533.0,0.0803921568627451
ू,108.0,0.016289592760180997
े,946.0,0.14268476621417797
ै,146.0,0.0220211161387632
ो,889.0,0.13408748114630467
ौ,125.0,0.01885369532428356
ं,140.0,0.021116138763197588
ः,0.0,0.0
ँ,0.0,0.0
ृ,61.0,0.009200603318250377
