matra,frequency,probability
ा,4028.0,0.2161060142711519
ि,1504.0,0.08069102419657707
ी,2293.0,0.12302162133161651
ु,1136.0,0.06094747572294651
ू,390.0,0.020923869306293256
े,7011.0,0.3761467889908257
ै,191.0,0.010247330865389774
ो,566.0,0.030366435967594828
ौ,116.0,0.006223509844948763
ं,1394.0,0.07478942003326358
ः,3.0,0.00016095284081764043
ँ,0.0,0.0
ृ,7.0,0.00037555662857449436
