matra,frequency,probability
ा,4637.0,0.20234770466049923
ि,1867.0,0.08147146098795602
ी,1033.0,0.04507767498690871
ु,1844.0,0.08046779542677605
ू,262.0,0.011433059870832606
े,9897.0,0.43188165473904694
ै,618.0,0.02696805725257462
ो,960.0,0.041892127770989704
ौ,550.0,0.024000698202129515
ं,1172.0,0.05114330598708326
ः,3.0,0.00013091289928434283
ँ,0.0,0.0
ृ,73.0,0.0031855472159190087
