matra,frequency,probability
ा,3827.0,0.4094361827324275
ि,1505.0,0.16101422916443778
ी,1009.0,0.10794907456938055
ु,418.0,0.04472023109018937
ू,367.0,0.03926393495239114
े,1096.0,0.11725687386327163
ै,263.0,0.028137370279233978
ो,761.0,0.08141649727185193
ौ,26.0,0.0027816411682892906
ं,75.0,0.0080239649085268
ः,0.0,0.0
ँ,0.0,0.0
ृ,0.0,0.0
