matra,frequency,probability
ा,9423.0,0.1923375244937949
ि,7405.0,0.15114712606139777
ी,8763.0,0.17886593729588504
ु,1016.0,0.020738079686479425
ू,221.0,0.004510940561724363
े,14016.0,0.28608752449379493
ै,430.0,0.00877694317439582
ो,7194.0,0.1468403004572175
ौ,96.0,0.001959503592423253
ं,300.0,0.006123448726322665
ः,3.0,6.123448726322665e-05
ँ,0.0,0.0
ृ,125.0,0.0025514369693011105
