matra,frequency,probability
ा,428.0,0.4083969465648855
ि,56.0,0.05343511450381679
ी,62.0,0.05916030534351145
ु,47.0,0.04484732824427481
ू,28.0,0.026717557251908396
े,209.0,0.19942748091603055
ै,0.0,0.0
ो,216.0,0.20610687022900764
ौ,0.0,0.0
ं,2.0,0.0019083969465648854
ः,0.0,0.0
ँ,0.0,0.0
ृ,0.0,0.0
